Song,Artist,Genre,Image_URL,Mood
너를 만나,폴킴,Ballad,https://cdnimg.melon.co.kr/cm/album/images/102/17/134/10217134_500.jpg/melon/resize/120/quality/80/optimize,Sad
밤하늘의 별을(2020),경서,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/105/18/234/10518234_20210216102853_500.jpg/melon/resize/120/quality/80/optimize,Sad
봄눈,10CM,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/114/87/566/11487566_20240513144509_500.jpg/melon/resize/120/quality/80/optimize,Sad
봄이 와도,로이킴,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/114/32/045/11432045_20240305101337_500.jpg/melon/resize/120/quality/80/optimize,Sad
사랑..그게 뭔데,지아,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/112/42/411/11242411_20230511140611_500.jpg/melon/resize/120/quality/80/optimize,Sad
그랬나봐,유회승 (엔플라잉),Ballad,https://cdnimg.melon.co.kr/cm2/album/images/114/80/740/11480740_20240503112506_500.jpg/melon/resize/120/quality/80/optimize,Sad
그대라는 시,태연 (TAEYEON),Ballad,https://cdnimg.melon.co.kr/cm/album/images/103/09/213/10309213_500.jpg/melon/resize/120/quality/80/optimize,Sad
소녀,오혁,Ballad,https://cdnimg.melon.co.kr/cm/album/images/026/52/150/2652150_500.jpg/melon/resize/120/quality/80/optimize,Sad
너의 번호를 누르고 (Prod. 영화처럼),#안녕,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/103/59/126/10359126_500.jpg/melon/resize/120/quality/80/optimize,Sad
취기를 빌려 (취향저격 그녀 X 산들),산들,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/104/63/600/10463600_20200720152905_500.jpg/melon/resize/120/quality/80/optimize,Sad
To Heaven (천국으로 보낸 편지),허각,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/116/16/599/11616599_20241015164103_500.jpg/melon/resize/120/quality/80/optimize,Sad
달랐을까,PLAVE,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/116/13/772/11613772_20241011150204_500.jpg/melon/resize/120/quality/80/optimize,Sad
"기다린 만큼, 더",검정치마,Ballad,https://cdnimg.melon.co.kr/cm/album/images/026/90/838/2690838_500.jpg/melon/resize/120/quality/80/optimize,Sad
All For You,서인국,Ballad,https://cdnimg.melon.co.kr/cm/album/images/021/48/020/2148020_500.jpg/melon/resize/120/quality/80/optimize,Sad
이 사랑,다비치,Ballad,https://cdnimg.melon.co.kr/cm/album/images/026/69/778/2669778_500.jpg/melon/resize/120/quality/80/optimize,Sad
좋니,윤종신,Ballad,https://cdnimg.melon.co.kr/cm/album/images/100/73/513/10073513_500.jpg/melon/resize/120/quality/80/optimize,Sad
그때 헤어지면 돼,로이킴,Ballad,https://cdnimg.melon.co.kr/cm/album/images/101/37/574/10137574_500.jpg/melon/resize/120/quality/80/optimize,Sad
기억해줘요 내 모든 날과 그때를,거미,Ballad,https://cdnimg.melon.co.kr/cm/album/images/103/14/289/10314289_500.jpg/melon/resize/120/quality/80/optimize,Sad
아로하,조정석,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/104/09/054/10409054_20200326163459_500.jpg/melon/resize/120/quality/80/optimize,Sad
이별의 맛,휘인 (Whee In),Ballad,https://cdnimg.melon.co.kr/cm2/album/images/116/88/130/11688130_20250108174643_500.jpg/melon/resize/120/quality/80/optimize,Sad
가을 안부,먼데이 키즈 (Monday Kiz),Ballad,https://cdnimg.melon.co.kr/cm/album/images/101/02/177/10102177_500.jpg/melon/resize/120/quality/80/optimize,Sad
이별하러 가는 길,임한별,Ballad,https://cdnimg.melon.co.kr/cm/album/images/102/03/965/10203965_500.jpg/melon/resize/120/quality/80/optimize,Sad
그때가 좋았어,케이시 (Kassy),Ballad,https://cdnimg.melon.co.kr/cm/album/images/102/37/420/10237420_500.jpg/melon/resize/120/quality/80/optimize,Sad
광화문에서 (At Gwanghwamun),규현 (KYUHYUN),Ballad,https://cdnimg.melon.co.kr/cm/album/images/022/90/324/2290324_500.jpg/melon/resize/120/quality/80/optimize,Sad
솔직하게 말해서 나,김나영,Ballad,https://cdnimg.melon.co.kr/cm/album/images/102/94/763/10294763_500.jpg/melon/resize/120/quality/80/optimize,Sad
Timeless,SG 워너비,Ballad,https://cdnimg.melon.co.kr/cm/album/images/003/99/659/399659_500.jpg/melon/resize/120/quality/80/optimize,Sad
안녕,폴킴,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/103/17/137/10317137_500.jpg/melon/resize/120/quality/80/optimize,Sad
거짓말의 반대말만 할게요,이창섭,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/116/62/149/11662149_20241209152406_500.jpg/melon/resize/120/quality/80/optimize,Sad
어디에도,엠씨더맥스 (M.C the MAX),Ballad,https://cdnimg.melon.co.kr/cm/album/images/026/64/299/2664299_500.jpg/melon/resize/120/quality/80/optimize,Sad
나무,카더가든,Ballad,https://cdnimg.melon.co.kr/cm/album/images/102/74/611/10274611_500.jpg/melon/resize/120/quality/80/optimize,Sad
사랑은 언제나 걸음이 느려서,허각,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/116/84/607/11684607_20250103132552_500.jpg/melon/resize/120/quality/80/optimize,Sad
시든 꽃에 물을 주듯,HYNN (박혜원),Ballad,https://cdnimg.melon.co.kr/cm/album/images/102/67/986/10267986_500.jpg/melon/resize/120/quality/80/optimize,Sad
이 소설의 끝을 다시 써보려 해,한동근,Ballad,https://cdnimg.melon.co.kr/cm/album/images/022/84/064/2284064_500.jpg/melon/resize/120/quality/80/optimize,Sad
야생화,박효신,Ballad,https://cdnimg.melon.co.kr/cm/album/images/022/44/822/2244822_500.jpg/melon/resize/120/quality/80/optimize,Sad
아무렇지 않게,DK(디셈버),Ballad,https://cdnimg.melon.co.kr/cm2/album/images/116/80/016/11680016_20241227152113_500.jpg/melon/resize/120/quality/80/optimize,Sad
Say Yes,로꼬,Ballad,https://cdnimg.melon.co.kr/cm/album/images/027/07/047/2707047_500.jpg/melon/resize/120/quality/80/optimize,Sad
사랑에 연습이 있었다면 (Prod. 2soo),임재현,Ballad,https://cdnimg.melon.co.kr/cm/album/images/102/07/131/10207131_500.jpg/melon/resize/120/quality/80/optimize,Sad
봄 내음보다 너를,김나영,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/105/92/109/10592109_20210413181735_500.jpg/melon/resize/120/quality/80/optimize,Sad
고백,멜로망스,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/106/95/590/10695590_20210827162225_500.jpg/melon/resize/120/quality/80/optimize,Sad
기다리다,윤하 (YOUNHA),Ballad,https://cdnimg.melon.co.kr/cm/album/images/003/33/687/333687_500.jpg/melon/resize/120/quality/80/optimize,Sad
나는 반딧불,황가람,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/116/20/541/11620541_20241018183253_500.jpg/melon/resize/120/quality/80/optimize,Sad
내게 사랑이 뭐냐고 물어본다면,로이킴,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/116/16/312/11616312_20241015135802_500.jpg/melon/resize/120/quality/80/optimize,Sad
